"site_code","measurement_start_utc","measurement_end_utc","species_code","value"
"CLDP0026","2021-03-11 00:00:00","2021-03-11 01:00:00","NO2",12.1105891265388
"CLDP0026","2021-03-08 00:00:00","2021-03-08 01:00:00","NO2",73.5965816840821
"CLDP0026","2021-03-08 01:00:00","2021-03-08 02:00:00","NO2",69.6871618843933
"CLDP0026","2021-03-08 02:00:00","2021-03-08 03:00:00","NO2",66.7183812856655
"CLDP0026","2021-03-08 03:00:00","2021-03-08 04:00:00","NO2",62.0128489544461
"CLDP0026","2021-03-08 04:00:00","2021-03-08 05:00:00","NO2",53.4617586611116
"CLDP0026","2021-03-08 05:00:00","2021-03-08 06:00:00","NO2",56.1203772227525
"CLDP0026","2021-03-08 06:00:00","2021-03-08 07:00:00","NO2",60.9084987117408
"CLDP0026","2021-03-08 07:00:00","2021-03-08 08:00:00","NO2",61.098028876816
"CLDP0026","2021-03-08 08:00:00","2021-03-08 09:00:00","NO2",57.4991952919753
"CLDP0026","2021-03-08 09:00:00","2021-03-08 10:00:00","NO2",54.4304451342336
"CLDP0026","2021-03-08 10:00:00","2021-03-08 11:00:00","NO2",50.8146867608236
"CLDP0026","2021-03-08 11:00:00","2021-03-08 12:00:00","NO2",39.1280644934081
"CLDP0026","2021-03-08 12:00:00","2021-03-08 13:00:00","NO2",36.5077258038674
"CLDP0026","2021-03-08 13:00:00","2021-03-08 14:00:00","NO2",38.6124772600678
"CLDP0026","2021-03-08 14:00:00","2021-03-08 15:00:00","NO2",40.791075087304
"CLDP0026","2021-03-08 15:00:00","2021-03-08 16:00:00","NO2",41.3107156032172
"CLDP0026","2021-03-08 16:00:00","2021-03-08 17:00:00","NO2",36.7148342541776
"CLDP0026","2021-03-08 17:00:00","2021-03-08 18:00:00","NO2",42.6742059553393
"CLDP0026","2021-03-08 18:00:00","2021-03-08 19:00:00","NO2",47.0875968392662
"CLDP0026","2021-03-08 19:00:00","2021-03-08 20:00:00","NO2",52.1606438288686
"CLDP0026","2021-03-08 20:00:00","2021-03-08 21:00:00","NO2",63.7279560718068
"CLDP0026","2021-03-08 21:00:00","2021-03-08 22:00:00","NO2",69.4481278174109
"CLDP0026","2021-03-08 22:00:00","2021-03-08 23:00:00","NO2",63.9194407991985
"CLDP0026","2021-03-08 23:00:00","2021-03-09 00:00:00","NO2",62.0690382439693
"CLDP0026","2021-03-09 00:00:00","2021-03-09 01:00:00","NO2",52.0470117958731
"CLDP0026","2021-03-09 01:00:00","2021-03-09 02:00:00","NO2",49.403469627242
"CLDP0026","2021-03-09 02:00:00","2021-03-09 03:00:00","NO2",43.8422512457824
"CLDP0026","2021-03-09 03:00:00","2021-03-09 04:00:00","NO2",41.8163168536737
"CLDP0026","2021-03-09 04:00:00","2021-03-09 05:00:00","NO2",40.7059539172382
"CLDP0026","2021-03-09 05:00:00","2021-03-09 06:00:00","NO2",43.3040241777255
"CLDP0026","2021-03-09 06:00:00","2021-03-09 07:00:00","NO2",48.2440697118962
"CLDP0026","2021-03-09 07:00:00","2021-03-09 08:00:00","NO2",49.0725913723232
"CLDP0026","2021-03-09 08:00:00","2021-03-09 09:00:00","NO2",47.0999018997807
"CLDP0026","2021-03-09 09:00:00","2021-03-09 10:00:00","NO2",44.5963870724926
"CLDP0026","2021-03-09 10:00:00","2021-03-09 11:00:00","NO2",35.6871512216499
"CLDP0026","2021-03-09 11:00:00","2021-03-09 12:00:00","NO2",30.2630595037862
"CLDP0026","2021-03-09 12:00:00","2021-03-09 13:00:00","NO2",26.4762425121156
"CLDP0026","2021-03-09 13:00:00","2021-03-09 14:00:00","NO2",23.7749724614879
"CLDP0026","2021-03-09 14:00:00","2021-03-09 15:00:00","NO2",23.1716875643737
"CLDP0026","2021-03-09 15:00:00","2021-03-09 16:00:00","NO2",26.9690325989731
"CLDP0026","2021-03-09 16:00:00","2021-03-09 17:00:00","NO2",32.6284658497789
"CLDP0026","2021-03-09 17:00:00","2021-03-09 18:00:00","NO2",37.0553138330058
"CLDP0026","2021-03-09 18:00:00","2021-03-09 19:00:00","NO2",38.5011610845017
"CLDP0026","2021-03-09 19:00:00","2021-03-09 20:00:00","NO2",40.7586962997806
"CLDP0026","2021-03-09 20:00:00","2021-03-09 21:00:00","NO2",42.1608352760847
"CLDP0026","2021-03-09 21:00:00","2021-03-09 22:00:00","NO2",39.3226788629097
"CLDP0026","2021-03-09 22:00:00","2021-03-09 23:00:00","NO2",36.9524562564255
"CLDP0026","2021-03-09 23:00:00","2021-03-10 00:00:00","NO2",35.621304958663
"CLDP0026","2021-03-10 00:00:00","2021-03-10 01:00:00","NO2",27.8489092910371
"CLDP0026","2021-03-10 01:00:00","2021-03-10 02:00:00","NO2",30.0793940939914
"CLDP0026","2021-03-10 02:00:00","2021-03-10 03:00:00","NO2",31.5169149958436
"CLDP0026","2021-03-10 03:00:00","2021-03-10 04:00:00","NO2",25.4505759805378
"CLDP0026","2021-03-10 04:00:00","2021-03-10 05:00:00","NO2",22.7060515324171
"CLDP0026","2021-03-10 05:00:00","2021-03-10 06:00:00","NO2",19.6926763711864
"CLDP0026","2021-03-10 06:00:00","2021-03-10 07:00:00","NO2",25.1554038104109
"CLDP0026","2021-03-10 07:00:00","2021-03-10 08:00:00","NO2",26.1756535222286
"CLDP0026","2021-03-10 08:00:00","2021-03-10 09:00:00","NO2",26.4194121703183
"CLDP0026","2021-03-10 09:00:00","2021-03-10 10:00:00","NO2",29.1600569837214
"CLDP0026","2021-03-10 10:00:00","2021-03-10 11:00:00","NO2",26.8091020055636
"CLDP0026","2021-03-10 11:00:00","2021-03-10 12:00:00","NO2",23.3581063624286
"CLDP0026","2021-03-10 12:00:00","2021-03-10 13:00:00","NO2",21.1836549863433
"CLDP0026","2021-03-10 13:00:00","2021-03-10 14:00:00","NO2",20.8540906278197
"CLDP0026","2021-03-10 14:00:00","2021-03-10 15:00:00","NO2",18.9839646005463
"CLDP0026","2021-03-10 15:00:00","2021-03-10 16:00:00","NO2",21.8063908063477
"CLDP0026","2021-03-10 16:00:00","2021-03-10 17:00:00","NO2",19.2859874010492
"CLDP0026","2021-03-10 17:00:00","2021-03-10 18:00:00","NO2",16.2374814057573
"CLDP0026","2021-03-10 18:00:00","2021-03-10 19:00:00","NO2",19.1488859081343
"CLDP0026","2021-03-10 19:00:00","2021-03-10 20:00:00","NO2",18.7488783509332
"CLDP0026","2021-03-10 20:00:00","2021-03-10 21:00:00","NO2",18.1207575275532
"CLDP0026","2021-03-10 21:00:00","2021-03-10 22:00:00","NO2",20.2727863964053
"CLDP0026","2021-03-10 22:00:00","2021-03-10 23:00:00","NO2",21.3080883112696
"CLDP0026","2021-03-10 23:00:00","2021-03-11 00:00:00","NO2",16.6516942502717
"CLDP0026","2021-03-15 11:00:00","2021-03-15 12:00:00","NO2",19.6849059028538
"CLDP0026","2021-03-15 12:00:00","2021-03-15 13:00:00","NO2",24.3900908565724
"CLDP0026","2021-03-15 13:00:00","2021-03-15 14:00:00","NO2",18.3882696709522
"CLDP0026","2021-03-15 14:00:00","2021-03-15 15:00:00","NO2",25.8380847328391
"CLDP0026","2021-03-15 15:00:00","2021-03-15 16:00:00","NO2",18.9553959791834
"CLDP0026","2021-03-15 16:00:00","2021-03-15 17:00:00","NO2",24.9209047919515
"CLDP0026","2021-03-15 17:00:00","2021-03-15 18:00:00","NO2",29.5088894005878
"CLDP0026","2021-03-15 18:00:00","2021-03-15 19:00:00","NO2",34.9677832869853
"CLDP0026","2021-03-15 19:00:00","2021-03-15 20:00:00","NO2",45.32601096099
"CLDP0026","2021-03-15 20:00:00","2021-03-15 21:00:00","NO2",48.7389220357446
"CLDP0026","2021-03-15 21:00:00","2021-03-15 22:00:00","NO2",40.1263990245225
"CLDP0026","2021-03-15 22:00:00","2021-03-15 23:00:00","NO2",33.8360393444042
"CLDP0026","2021-03-15 23:00:00","2021-03-16 00:00:00","NO2",32.1698840771938
"CLDP0026","2021-03-11 01:00:00","2021-03-11 02:00:00","NO2",8.63189426317369
"CLDP0026","2021-03-11 02:00:00","2021-03-11 03:00:00","NO2",5.43051578414893
"CLDP0026","2021-03-11 03:00:00","2021-03-11 04:00:00","NO2",3.58462227499906
"CLDP0026","2021-03-11 04:00:00","2021-03-11 05:00:00","NO2",2.8993006850633
"CLDP0026","2021-03-11 05:00:00","2021-03-11 06:00:00","NO2",4.1800321439598
"CLDP0026","2021-03-11 06:00:00","2021-03-11 07:00:00","NO2",6.17479917080962
"CLDP0026","2021-03-11 07:00:00","2021-03-11 08:00:00","NO2",9.24719414875202
"CLDP0026","2021-03-11 08:00:00","2021-03-11 09:00:00","NO2",9.73766305467883
"CLDP0026","2021-03-11 09:00:00","2021-03-11 10:00:00","NO2",9.88043109787493
"CLDP0026","2021-03-11 10:00:00","2021-03-11 11:00:00","NO2",8.3647007369658
"CLDP0026","2021-03-11 11:00:00","2021-03-11 12:00:00","NO2",7.78190886141493
"CLDP0026","2021-03-11 12:00:00","2021-03-11 13:00:00","NO2",8.46073387587495
"CLDP0026","2021-03-11 13:00:00","2021-03-11 14:00:00","NO2",11.071858831777
"CLDP0026","2021-03-11 14:00:00","2021-03-11 15:00:00","NO2",11.9981702900041
"CLDP0026","2021-03-11 15:00:00","2021-03-11 16:00:00","NO2",11.4334329119524
"CLDP0026","2021-03-11 16:00:00","2021-03-11 17:00:00","NO2",11.6989425201734
"CLDP0026","2021-03-11 17:00:00","2021-03-11 18:00:00","NO2",10.4692186840519
