"site_code","species_code","measurement_start_utc","measurement_end_utc","value"
"EA6","NO2","2021-03-08 07:00:00","2021-03-08 08:00:00",109.2
"EA6","NO2","2021-03-08 12:00:00","2021-03-08 13:00:00",76.1
"EN5","NO2","2021-03-09 12:00:00","2021-03-09 13:00:00",36.6
"EA6","NO2","2021-03-13 22:00:00","2021-03-13 23:00:00",44.2
"EA6","PM10","2021-03-15 21:00:00","2021-03-15 22:00:00",33.2
"EA6","PM10","2021-03-15 08:00:00","2021-03-15 09:00:00",21.6
"EA6","NO2","2021-03-15 20:00:00","2021-03-15 21:00:00",75.7
"EA6","NO2","2021-03-15 05:00:00","2021-03-15 06:00:00",35.9
"EA6","PM10","2021-03-10 03:00:00","2021-03-10 04:00:00",21.4
"EA6","PM10","2021-03-15 17:00:00","2021-03-15 18:00:00",19.9
"EA6","PM10","2021-03-14 11:00:00","2021-03-14 12:00:00",16.5
"EA6","NO2","2021-03-15 01:00:00","2021-03-15 02:00:00",16.8
"EA6","PM10","2021-03-08 12:00:00","2021-03-08 13:00:00",55.2
"EA6","NO2","2021-03-14 17:00:00","2021-03-14 18:00:00",38.2
"EA6","NO2","2021-03-14 01:00:00","2021-03-14 02:00:00",24.8
"EA6","PM10","2021-03-14 05:00:00","2021-03-14 06:00:00",1
"EA6","NO2","2021-03-13 03:00:00","2021-03-13 04:00:00",4.5
"EA6","NO2","2021-03-14 07:00:00","2021-03-14 08:00:00",42.4
"EA6","NO2","2021-03-15 10:00:00","2021-03-15 11:00:00",51.4
"EA6","NO2","2021-03-13 07:00:00","2021-03-13 08:00:00",34.7
"EA6","PM10","2021-03-15 06:00:00","2021-03-15 07:00:00",19.9
"EA6","PM10","2021-03-14 20:00:00","2021-03-14 21:00:00",15.2
"EA6","NO2","2021-03-15 09:00:00","2021-03-15 10:00:00",59
"EA6","PM10","2021-03-14 03:00:00","2021-03-14 04:00:00",3.1
"EA6","NO2","2021-03-15 21:00:00","2021-03-15 22:00:00",63.3
"EA6","PM10","2021-03-15 03:00:00","2021-03-15 04:00:00",8.8
"EA6","NO2","2021-03-14 16:00:00","2021-03-14 17:00:00",43.1
"EA6","PM10","2021-03-15 07:00:00","2021-03-15 08:00:00",21.7
"EA6","NO2","2021-03-13 15:00:00","2021-03-13 16:00:00",44.8
"EA6","PM10","2021-03-09 11:00:00","2021-03-09 12:00:00",42
"EA6","NO2","2021-03-14 23:00:00","2021-03-15 00:00:00",22.6
"EA6","PM10","2021-03-13 16:00:00","2021-03-13 17:00:00",9.3
"EA6","PM10","2021-03-14 19:00:00","2021-03-14 20:00:00",16.2
"EA6","PM10","2021-03-15 10:00:00","2021-03-15 11:00:00",32.1
"EA6","PM10","2021-03-15 22:00:00","2021-03-15 23:00:00",26.6
"EA6","PM10","2021-03-14 18:00:00","2021-03-14 19:00:00",9.2
"EA6","NO2","2021-03-15 16:00:00","2021-03-15 17:00:00",56.3
"EA6","PM10","2021-03-08 23:00:00","2021-03-09 00:00:00",35.6
"EA6","PM10","2021-03-15 02:00:00","2021-03-15 03:00:00",6.6
"EA6","PM10","2021-03-13 21:00:00","2021-03-13 22:00:00",28.6
"EA6","PM10","2021-03-14 14:00:00","2021-03-14 15:00:00",16.4
"EA6","NO2","2021-03-15 03:00:00","2021-03-15 04:00:00",14.5
"EA6","PM10","2021-03-15 15:00:00","2021-03-15 16:00:00",19.4
"GR4","TSP","2021-03-09 06:00:00","2021-03-09 07:00:00",NULL
"EA6","PM10","2021-03-15 23:00:00","2021-03-16 00:00:00",27.4
"EA6","NO2","2021-03-14 06:00:00","2021-03-14 07:00:00",30.4
"EA6","NO2","2021-03-15 07:00:00","2021-03-15 08:00:00",97.2
"EA6","PM10","2021-03-14 13:00:00","2021-03-14 14:00:00",12.6
"EA6","PM10","2021-03-14 16:00:00","2021-03-14 17:00:00",35.3
"GN6","PM25","2021-03-13 21:00:00","2021-03-13 22:00:00",NULL
"EA6","PM10","2021-03-15 18:00:00","2021-03-15 19:00:00",38.4
"EA6","NO2","2021-03-15 22:00:00","2021-03-15 23:00:00",46.8
"EA6","PM10","2021-03-15 14:00:00","2021-03-15 15:00:00",7.2
"EA6","NO2","2021-03-14 05:00:00","2021-03-14 06:00:00",15.2
"EA6","PM10","2021-03-14 09:00:00","2021-03-14 10:00:00",7.1
"EA6","PM10","2021-03-13 20:00:00","2021-03-13 21:00:00",29.7
"EA6","NO2","2021-03-12 05:00:00","2021-03-12 06:00:00",21.3
"GN3","NO2","2021-03-15 22:00:00","2021-03-15 23:00:00",39.7
"EA6","PM10","2021-03-14 06:00:00","2021-03-14 07:00:00",4
"EA6","PM10","2021-03-13 02:00:00","2021-03-13 03:00:00",7
"EA6","NO2","2021-03-13 12:00:00","2021-03-13 13:00:00",24.5
"EA6","NO2","2021-03-13 08:00:00","2021-03-13 09:00:00",29.9
"EA6","NO2","2021-03-14 09:00:00","2021-03-14 10:00:00",34.3
"EA6","NO2","2021-03-13 21:00:00","2021-03-13 22:00:00",49.1
"EA6","NO2","2021-03-10 23:00:00","2021-03-11 00:00:00",14.9
"EA6","PM10","2021-03-13 12:00:00","2021-03-13 13:00:00",16.9
"EA6","PM10","2021-03-15 09:00:00","2021-03-15 10:00:00",25.9
"EA6","NO2","2021-03-15 06:00:00","2021-03-15 07:00:00",77.2
"EA6","PM10","2021-03-14 10:00:00","2021-03-14 11:00:00",13.7
"EA6","NO2","2021-03-14 21:00:00","2021-03-14 22:00:00",35.2
"EA6","NO2","2021-03-15 04:00:00","2021-03-15 05:00:00",18.9
"EA6","NO2","2021-03-14 18:00:00","2021-03-14 19:00:00",28.5
"EA6","PM10","2021-03-14 22:00:00","2021-03-14 23:00:00",8.1
"EA6","PM10","2021-03-15 19:00:00","2021-03-15 20:00:00",44.7
"EA6","NO2","2021-03-15 12:00:00","2021-03-15 13:00:00",44.1
"EA6","NO2","2021-03-14 02:00:00","2021-03-14 03:00:00",15.6
"EA6","NO2","2021-03-15 18:00:00","2021-03-15 19:00:00",84.4
"EA6","PM10","2021-03-15 12:00:00","2021-03-15 13:00:00",10.6
"EA6","NO2","2021-03-14 14:00:00","2021-03-14 15:00:00",44.2
"EA6","NO2","2021-03-15 19:00:00","2021-03-15 20:00:00",99.7
"EA6","PM10","2021-03-13 07:00:00","2021-03-13 08:00:00",7.5
"EA6","NO2","2021-03-11 05:00:00","2021-03-11 06:00:00",9.7
"EA6","PM10","2021-03-15 01:00:00","2021-03-15 02:00:00",6.7
"EA6","NO2","2021-03-14 13:00:00","2021-03-14 14:00:00",40.6
"EA6","NO2","2021-03-15 14:00:00","2021-03-15 15:00:00",40.4
"EA6","NO2","2021-03-13 06:00:00","2021-03-13 07:00:00",20.3
"EA6","PM10","2021-03-13 18:00:00","2021-03-13 19:00:00",27.9
"EA6","PM10","2021-03-13 09:00:00","2021-03-13 10:00:00",5.5
"EA6","NO2","2021-03-09 00:00:00","2021-03-09 01:00:00",63.7
"EA6","NO2","2021-03-15 13:00:00","2021-03-15 14:00:00",50
"EA6","NO2","2021-03-14 00:00:00","2021-03-14 01:00:00",24.6
"EA6","PM10","2021-03-13 17:00:00","2021-03-13 18:00:00",15.5
"EA6","NO2","2021-03-14 12:00:00","2021-03-14 13:00:00",39.6
"EA6","NO2","2021-03-14 22:00:00","2021-03-14 23:00:00",32.5
"EA6","NO2","2021-03-13 18:00:00","2021-03-13 19:00:00",56.6
"EA6","NO2","2021-03-13 14:00:00","2021-03-13 15:00:00",36.7
"EA6","PM10","2021-03-13 04:00:00","2021-03-13 05:00:00",5.8
"EA6","PM10","2021-03-13 00:00:00","2021-03-13 01:00:00",13
"EA6","PM10","2021-03-14 12:00:00","2021-03-14 13:00:00",11.8
"EA6","PM10","2021-03-15 05:00:00","2021-03-15 06:00:00",9.5
"EA6","PM10","2021-03-15 16:00:00","2021-03-15 17:00:00",26.8
"EA6","NO2","2021-03-15 23:00:00","2021-03-16 00:00:00",47.6
"EA6","NO2","2021-03-15 11:00:00","2021-03-15 12:00:00",50.7
"EA6","PM10","2021-03-13 05:00:00","2021-03-13 06:00:00",8.9
"EA6","PM10","2021-03-13 15:00:00","2021-03-13 16:00:00",19.2
"EA6","NO2","2021-03-11 10:00:00","2021-03-11 11:00:00",29.9
